,Mean,std,Skew,Kurtosis,DTW,Wass.
Original,0.6408219178082192,0.6522495392389465,4.5766217500052635,34.25478261343335,,
Fourier,0.72 +- 0.01,0.58 +- 0.01,1.99 +- 0.17,7.09 +- 1.56,7.49 +- 0.37,0.12 +- 0.01
ARIMA,0.64 +- 0.05,0.65 +- 0.03,0.00 +- 0.13,-0.03 +- 0.24,10.65 +- 0.35,0.26 +- 0.02
GAN,0.668 +- 0.014,0.638 +- 0.061,2.834 +- 0.302,10.566 +- 2.825,8.84 +- 0.63,0.085 +- 0.011
CoSMoS,0.605 +- 0.041,0.622 +- 0.125,3.520 +- 1.856,24.957 +- 29.320,7.93 +- 1.15,0.080 +- 0.017
