,Mean,std,Skew,Kurtosis,DTW,Wass.
Original,14528.07,1915.92,-0.26,-0.34,,
Fourier,14528.07 +- 0.00,1915.92 +- 0.00,0.00 +- 0.31,-0.43 +- 0.26,22086.78 +- 1941.78,235.55 +- 99.62
ARIMA,14535.84 +- 159.72,1908.86 +- 123.22,-0.00 +- 0.19,-0.05 +- 0.32,24518.10 +- 1783.42,265.86 +- 62.05
GAN,13644.59 +- 41.42,1843.60 +- 161.47,-0.08 +- 0.17,0.11 +- 0.31,26866.20 +- 1342.83,894.28 +- 42.39
CoSMoS,14525.65 +- 216.59,1881.38 +- 108.23,-0.04 +- 0.19,0.16 +- 0.45,26893.66 +- 1795.80,275.23 +- 82.10
