,Mean,std,Skew,Kurtosis,DTW,Wass.
Original,-0.00920775,0.040366803006152224,-0.16748894447869783,-0.6262955563653914,,
Fourier,-0.0092 +- 0.0000,0.0404 +- 0.0000,0.0094 +- 0.2696,-0.2588 +- 0.4270,0.65 +- 0.10,0.0050 +- 0.0016
ARIMA,-0.0090 +- 0.0063,0.0408 +- 0.0044,-0.0029 +- 0.3091,-0.1492 +- 0.5100,0.83 +- 0.13,0.0080 +- 0.0028
GAN,-0.0124 +- 0.0056,0.0466 +- 0.0036,-0.0789 +- 0.1846,-0.9484 +- 0.2192,0.86 +- 0.12,0.0091 +- 0.0036
CoSMoS,-0.0100 +- 0.0178,0.0314 +- 0.0074,-0.0431 +- 0.4300,-0.3541 +- 0.5774,1.12 +- 0.14,0.0179 +- 0.0085
