,Mean,std,Skew,Kurtosis,DTW,Wass.
Original,13.435714285714285,9.491607314382051,0.8258036068858052,-0.2519126794656721,,
Fourier,13.44 +- 0.00,9.49 +- 0.00,0.36 +- 0.17,-0.54 +- 0.30,131.54 +- 18.14,1.50 +- 0.35
ARIMA,15.29 +- 6.24,8.16 +- 2.24,0.00 +- 0.40,-0.51 +- 0.51,306.92 +- 143.68,6.10 +- 3.30
GAN,13.79 +- 1.48,10.42 +- 1.14,0.75 +- 0.29,-0.43 +- 0.68,343.37 +- 54.07,1.81 +- 0.85
CoSMoS,13.52 +- 2.39,9.70 +- 2.13,0.99 +- 0.29,0.27 +- 1.09,158.24 +- 62.94,2.38 +- 1.12
