Time,NO [µg/m³]
23/10/2023,1.3
24/10/2023,1.3
25/10/2023,0.7
26/10/2023,0.8
27/10/2023,0.6
28/10/2023,0.8
29/10/2023,0.8
30/10/2023,0.5
31/10/2023,0.5
01/11/2023,0.8
02/11/2023,0.6
03/11/2023,0.6
04/11/2023,0.7
05/11/2023,2.6
06/11/2023,1.6
07/11/2023,1.4
08/11/2023,1.3
09/11/2023,1.4
10/11/2023,0.7
11/11/2023,0.5
12/11/2023,0.7
13/11/2023,0.7
14/11/2023,0.8
15/11/2023,2.7
16/11/2023,1.4
17/11/2023,0.9
18/11/2023,0.4
19/11/2023,0.5
20/11/2023,0.5
21/11/2023,0.7
22/11/2023,0.6
23/11/2023,0.5
24/11/2023,0.7
25/11/2023,0.5
26/11/2023,0.7
27/11/2023,0.5
28/11/2023,0.5
29/11/2023,0.7
30/11/2023,0.7
01/12/2023,1.2
02/12/2023,0.5
03/12/2023,0.7
04/12/2023,0.5
05/12/2023,1.4
06/12/2023,0.8
07/12/2023,1.1
08/12/2023,0.5
09/12/2023,0.4
10/12/2023,0.7
11/12/2023,1.1
12/12/2023,1.4
13/12/2023,0.7
14/12/2023,1.2
15/12/2023,0.7
16/12/2023,0.4
17/12/2023,1.1
18/12/2023,0.6
19/12/2023,0.8
20/12/2023,0.6
21/12/2023,0.6
22/12/2023,0.7
23/12/2023,0.3
24/12/2023,1
25/12/2023,1.7
26/12/2023,0.5
27/12/2023,0.3
28/12/2023,1
29/12/2023,0.4
30/12/2023,0.4
31/12/2023,0.8
