,Mean,std,Skew,Kurtosis,DTW,Wass.
Original,1.470805,0.32578068539279614,0.0030008245984368873,-0.5619917921589903,,
Fourier,1.47 +- 0.00,0.33 +- 0.00,0.07 +- 0.16,-0.45 +- 0.26,4.69 +- 0.47,0.0231 +- 0.0052
ARIMA,1.47 +- 0.09,0.28 +- 0.04,0.02 +- 0.32,-0.18 +- 0.47,8.79 +- 2.66,0.0887 +- 0.0420
GAN,1.46 +- 0.06,0.26 +- 0.03,-0.09 +- 0.24,-0.63 +- 0.31,8.90 +- 2.27,0.0774 +- 0.0289
CoSMoS,1.46 +- 0.06,0.30 +- 0.04,-0.25 +- 0.31,-0.41 +- 0.65,5.24 +- 1.04,0.0721 +- 0.0245
